eta,loss,T_at_stop
0.0001,0.6586824647738326,1000
0.00011513953993264469,0.6391626861363309,1000
0.00013257113655901095,0.6459394258955242,1000
0.00015264179671752333,0.6376921091571106,1000
0.00017575106248547912,0.6278951652523582,1000
0.00020235896477251576,0.6051481115702604,1000
0.00023299518105153718,0.6127964693609766,1000
0.00026826957952797245,0.6085151386444457,1000
0.00030888435964774815,0.595458163206128,1000
0.00035564803062231287,0.5730242406640531,1000
0.00040949150623804275,0.5702149802354003,1000
0.00047148663634573947,0.5571402203529088,1000
0.0005428675439323859,0.5426786091185059,1000
0.0006250551925273976,0.5313994422379426,1000
0.0007196856730011522,0.5088131102280213,1000
0.0008286427728546842,0.4990649659162052,1000
0.0009540954763499944,0.477906260071171,1000
0.0010985411419875584,0.46638036368270525,1000
0.0012648552168552957,0.452882924445505,1000
0.0014563484775012444,0.44046827519763504,1000
0.0016768329368110084,0.42491690746241806,1000
0.0019306977288832496,0.411712800351151,1000
0.0022229964825261957,0.3982312966883942,1000
0.002559547922699536,0.39011971754993496,1000
0.0029470517025518097,0.37758548628707067,1000
0.00339322177189533,0.36746445581398796,1000
0.003906939937054617,0.3582296955972565,1000
0.004498432668969444,0.35133955215597257,1000
0.005179474679231213,0.3436173025473774,1000
0.005963623316594642,0.33670286784524156,1000
0.006866488450042998,0.3313354340186472,1000
0.0079060432109077,0.32590275873207786,1000
0.009102981779915217,0.3208430569936703,1000
0.010481131341546853,0.3173594722168641,1000
0.012067926406393288,0.3134346584935824,1000
0.013894954943731374,0.3100587227139209,1000
0.015998587196060572,0.30765528890222393,1000
0.018420699693267165,0.30521525122322557,1000
0.021209508879201904,0.3034133070572961,1000
0.024420530945486497,0.30129939052378907,1000
0.028117686979742307,0.30286755074036226,1000
0.032374575428176434,0.29943408484647593,1000
0.03727593720314938,0.299127721223294,1000
0.04291934260128778,0.2968108773351539,1000
0.04941713361323833,0.3018278315374835,1000
0.05689866029018293,0.3071434584299423,736
0.0655128556859551,0.29972559831290435,812
0.07543120063354615,0.2960942249253654,750
0.08685113737513521,0.30572822663933086,482
0.1,0.2981509983086699,552
