eta,mse,T_at_stop
0.0001,12.343662981828817,1000
0.00011513953993264469,9.732248345766946,58
0.00013257113655901095,9.877022635103113,1000
0.00015264179671752333,10.31490408081092,1000
0.00017575106248547912,10.216665978370916,46
0.00020235896477251576,9.730764889927785,881
0.00023299518105153718,9.695163477619984,426
0.00026826957952797245,10.164861554672424,1000
0.00030888435964774815,9.938767050708094,488
0.00035564803062231287,9.644367036779085,195
0.00040949150623804275,9.62890962148192,556
0.00047148663634573947,9.551568638650366,29
0.0005428675439323859,9.819714479899881,737
0.0006250551925273976,9.797355913415851,757
0.0007196856730011522,9.749608550350441,566
0.0008286427728546842,9.624188326642406,27
0.0009540954763499944,9.705092754444516,320
0.0010985411419875584,9.56290288272559,291
0.0012648552168552957,9.556248170614548,231
0.0014563484775012444,9.56731286203304,263
0.0016768329368110084,9.687116340524103,342
0.0019306977288832496,9.573565950250517,107
0.0022229964825261957,9.54868245960103,211
0.002559547922699536,9.55104967630511,90
0.0029470517025518097,9.642019315180917,35
0.00339322177189533,9.553046558966154,95
0.003906939937054617,9.573055930481962,23
0.004498432668969444,9.67415226244609,126
0.005179474679231213,9.550667372406336,73
0.005963623316594642,9.556719593165997,92
0.006866488450042998,9.628698715371304,96
0.0079060432109077,9.580175823220197,22
0.009102981779915217,9.554177693614143,45
0.010481131341546853,9.549569879473081,51
0.012067926406393288,9.608809100388411,105
0.013894954943731374,9.614285294215138,94
0.015998587196060572,9.613210971911561,91
0.018420699693267165,9.56932800460453,33
0.021209508879201904,9.551625398536855,23
0.024420530945486497,9.603680054746308,59
0.028117686979742307,9.564095336686133,32
0.032374575428176434,9.621826114360562,47
0.03727593720314938,9.572422143415224,31
0.04291934260128778,9.602757456788607,37
0.04941713361323833,9.642846717063154,40
0.05689866029018293,9.587205064749867,25
0.0655128556859551,9.593242191669615,37
0.07543120063354615,9.618100617036292,35
0.08685113737513521,9.610822197763293,59
0.1,9.607199302961911,46
